ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal
LITE,C,2026-01-12,2026-01-13,337.272,2026-01-23,337.609,7,29,True,153.53,1.57,114,成本止损,9785.78,ACCUMULATING
TRU,C,2026-01-12,2026-01-13,84.962,2026-01-29,78.935,11,117,False,-709.7,-7.14,113,硬止损-7%,9945.49,ACCUMULATING
EFX,C,2026-01-13,2026-01-14,217.051,2026-01-29,201.656,10,46,False,-712.83,-7.14,112,硬止损-7%,9989.34,ACCUMULATING
LAD,C,2026-01-13,2026-01-14,338.141,2026-02-05,331.164,15,29,False,-207.11,-2.11,106,横盘15天出场,9810.99,ACCUMULATING
REZI,C,2026-01-13,2026-01-14,37.628,2026-01-27,34.959,8,265,False,-711.9,-7.14,106,硬止损-7%,9976.3,ACCUMULATING
MAA,C,2026-01-14,2026-01-15,133.133,2026-02-06,130.399,15,75,False,-209.88,-2.1,121,横盘15天出场,9989.94,ACCUMULATING
COHR,C,2026-01-14,2026-01-15,192.522,2026-02-04,210.789,13,51,True,977.15,9.95,118,MA10追踪出场,9823.55,ACCUMULATING
CWK,C,2026-01-14,2026-01-15,16.516,2026-02-03,15.345,12,605,False,-713.41,-7.14,118,硬止损-7%,9997.48,ACCUMULATING
ALK,C,2026-01-15,2026-01-16,49.459,2026-02-12,55.634,18,202,True,1204.92,12.05,124,MA10追踪出场,9995.8,ACCUMULATING
CI,C,2026-01-15,2026-01-16,275.081,2026-02-20,278.495,23,36,False,117.91,1.19,113,横盘23天出场,9907.87,ACCUMULATING
NCLH,C,2026-01-15,2026-01-16,22.923,2026-01-20,21.297,1,436,False,-713.54,-7.14,111,硬止损-7%,9999.38,ACCUMULATING
EXPE,C,2026-01-16,2026-01-20,276.417,2026-02-03,256.811,10,36,False,-710.45,-7.14,115,硬止损-7%,9955.99,ACCUMULATING
TKO,C,2026-01-16,2026-01-20,203.156,2026-02-12,198.989,17,49,False,-209.06,-2.1,109,横盘17天出场,9959.63,ACCUMULATING
VTR,C,2026-01-16,2026-01-20,77.72,2026-03-06,84.245,32,128,True,883.58,8.88,109,MA21追踪出场,9953.11,ACCUMULATING
W,C,2026-01-20,2026-01-21,108.208,2026-02-02,100.533,8,92,False,-710.74,-7.14,125,硬止损-7%,9960.12,ACCUMULATING
KDP,C,2026-01-20,2026-01-21,27.664,2026-03-03,29.282,28,361,True,752.31,7.53,123,MA10追踪出场,9991.53,ACCUMULATING
EMN,C,2026-01-20,2026-01-21,66.487,2026-02-19,77.014,20,150,True,1468.84,14.72,116,MA10追踪出场,9977.96,ACCUMULATING
WWW,C,2026-01-21,2026-01-22,19.062,2026-01-23,17.71,1,524,False,-713.11,-7.14,112,硬止损-7%,9993.29,ACCUMULATING
EDU,C,2026-01-21,2026-01-22,55.415,2026-02-09,60.0,12,180,True,753.32,7.55,111,MA10追踪出场,9979.75,ACCUMULATING
OHI,C,2026-01-21,2026-01-22,43.925,2026-03-20,44.745,40,227,False,181.15,1.82,109,横盘40天出场,9975.92,ACCUMULATING
BTE,C,2026-01-22,2026-01-23,3.29,2026-03-23,4.096,40,3039,True,2097.19,20.96,116,持仓40天强制出场,10003.77,ACCUMULATING
CTAS,C,2026-01-22,2026-01-23,192.82,2026-02-13,193.247,15,51,False,16.85,0.17,110,横盘15天出场,9838.72,ACCUMULATING
F,C,2026-01-22,2026-01-23,13.567,2026-02-18,13.836,17,737,False,193.44,1.93,108,横盘17天出场,10003.71,ACCUMULATING
LLY,C,2026-01-23,2026-01-26,1061.501,2026-02-17,1035.014,15,9,False,-243.04,-2.54,119,横盘15天出场,9558.28,ACCUMULATING
IQV,C,2026-01-23,2026-01-26,234.995,2026-02-03,218.327,6,42,False,-704.65,-7.14,115,硬止损-7%,9874.71,ACCUMULATING
CNS,C,2026-01-23,2026-01-26,65.315,2026-02-03,60.682,6,153,False,-713.46,-7.14,113,硬止损-7%,9998.23,ACCUMULATING
AMZN,C,2026-01-26,2026-01-27,239.93,2026-02-05,222.911,7,41,False,-702.32,-7.14,114,硬止损-7%,9842.04,ACCUMULATING
NWE,C,2026-01-26,2026-01-27,65.893,2026-02-18,67.71,15,151,False,269.22,2.7,113,横盘15天出场,9954.88,ACCUMULATING
LRN,C,2026-01-26,2026-01-27,71.071,2026-02-11,85.784,11,140,True,1838.95,18.47,112,MA10追踪出场,9954.91,ACCUMULATING
AER,C,2026-01-27,2026-01-28,143.716,2026-02-23,147.195,17,69,False,234.97,2.37,116,横盘17天出场,9921.34,ACCUMULATING
JBHT,C,2026-01-27,2026-01-28,202.777,2026-02-12,218.501,11,49,True,909.62,9.15,113,MA10追踪出场,9941.04,ACCUMULATING
LOMA,C,2026-01-27,2026-01-28,12.452,2026-01-29,11.569,1,803,False,-713.9,-7.14,108,硬止损-7%,10004.31,ACCUMULATING
MS,C,2026-01-28,2026-01-29,182.358,2026-02-12,169.423,10,54,False,-703.05,-7.14,114,硬止损-7%,9852.25,ACCUMULATING
BV,C,2026-01-28,2026-01-29,13.143,2026-03-03,13.477,22,760,False,248.25,2.48,106,横盘22天出场,9993.77,ACCUMULATING
GTES,C,2026-01-28,2026-01-29,23.263,2026-02-25,27.482,18,429,True,1540.01,15.42,106,MA10追踪出场,9984.92,ACCUMULATING
BIIB,C,2026-01-29,2026-01-30,177.267,2026-02-19,191.888,13,56,True,976.95,9.84,122,MA10追踪出场,9931.92,ACCUMULATING
MOH,C,2026-01-29,2026-01-30,183.563,2026-02-06,170.543,5,54,False,-707.69,-7.14,121,硬止损-7%,9917.38,ACCUMULATING
