rank,stop_loss,partial_sell,stale_early,stale_force,trail_ma,trail_ma_late,max_hold,sideways_thr,min_score,yellow_score,min_green,use_atr,atr_mult,use_ratchet,ratchet_pct,grace_days,grace_mult,group,trades,win_rate,wl_ratio,pf,total_pnl,avg_pnl_pct,max_dd_streak,avg_days,partial_rate
84,-0.15,0.2,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.72,2.72,76025.0,4.2,4,21.5,26.1
85,-0.15,0.18,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,43.5,3.54,2.72,67367.0,3.72,4,17.9,23.9
86,-0.15,0.1,15,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.28,2.72,73016.0,4.02,4,20.0,43.5
87,-0.1,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.27,2.71,67229.0,3.7,3,12.5,34.8
88,-0.13,0.25,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,47.8,2.95,2.71,62069.0,3.41,5,15.7,15.2
89,-0.15,0.18,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,43.5,3.52,2.71,66847.0,3.69,4,18.0,23.9
90,-0.13,0.12,11,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SE,46,47.8,2.95,2.71,67800.0,3.73,4,15.9,30.4
91,-0.15,0.25,20,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.27,2.7,83518.0,4.59,4,26.2,23.9
92,-0.1,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.27,2.7,66968.0,3.68,3,12.2,34.8
93,-0.15,0.2,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,41.3,3.84,2.7,68270.0,3.77,4,18.1,21.7
94,-0.15,0.2,15,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.7,2.7,75056.0,4.14,4,21.6,26.1
95,-0.09,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.27,2.7,67082.0,3.69,3,12.1,34.8
96,-0.15,0.25,18,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.26,2.7,83485.0,4.59,4,25.5,23.9
