ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
300429.SZ,107,6,20251010,20251013,15.711,20251015,14.582,2,2500,False,-2859.0,-7.27,硬止损-9%
600546.SH,108,6,20251013,20251014,10.701,20251114,11.367,23,3700,True,2756.62,6.96,MA10追踪出场
002250.SZ,122,7,20251029,20251031,11.854,20251120,13.124,14,3300,True,3939.45,10.06,MA10追踪出场
001311.SZ,115,6,20251111,20251113,26.914,20251120,24.98,5,1400,False,-2742.6,-7.27,硬止损-9%
000680.SZ,109,7,20251222,20251226,11.553,20260114,12.206,11,3400,True,2440.14,6.21,MA10追踪出场
002552.SZ,96,6,20251230,20260107,17.495,20260130,19.212,17,2200,True,3168.91,8.23,MA10追踪出场
688222.SH,96,6,20251230,20260105,26.192,20260119,32.734,10,1500,True,8063.06,20.5,MA10追踪出场
300443.SZ,101,6,20260105,20260106,29.759,20260127,30.16,15,1300,False,481.0,1.24,横盘15天出场
603271.SH,94,6,20260106,20260107,42.154,20260130,43.722,17,900,True,2368.07,6.24,MA10追踪出场
002533.SZ,109,6,20260107,20260108,13.026,20260127,13.683,13,3000,True,2556.8,6.54,MA10追踪出场
000338.SZ,117,7,20260108,20260109,18.377,20260202,22.525,16,2100,True,7009.85,18.15,MA10追踪出场
000061.SZ,111,7,20260112,20260114,9.96,20260127,9.244,9,4000,False,-2899.84,-7.27,硬止损-9%
002445.SZ,108,6,20260113,20260114,2.735,20260204,2.744,15,14600,False,91.91,0.23,横盘15天出场
300360.SZ,117,6,20260114,20260116,18.226,20260130,16.917,10,2100,False,-2786.0,-7.27,硬止损-9%
002612.SZ,94,6,20260115,20260121,20.922,20260127,19.418,4,1900,False,-2893.43,-7.27,硬止损-9%
000786.SZ,107,7,20260116,20260120,26.874,20260210,28.184,15,1400,True,2316.8,6.15,MA10追踪出场
600186.SH,98,6,20260120,20260123,6.363,20260129,5.905,4,6200,False,-2871.4,-7.27,硬止损-9%
600871.SH,88,6,20260120,20260122,2.605,20260205,2.874,10,15300,True,4291.15,10.75,MA10追踪出场
300019.SZ,113,6,20260310,20260311,22.876,20260318,21.232,5,1700,False,-2830.63,-7.27,硬止损-9%
