ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
300045.SZ,20251117,23.22,113,6,20,25,17,15,12,12,12,ACCUMULATING,🔥 主力吸筹,-0.1092,0.0198,🟢 信号确认,0,23.18,23.33,0.501
688506.SH,20251117,367.0,111,6,14,25,25,8,12,15,12,ACCUMULATING,🔥 主力吸筹,-0.0917,0.0857,🟢 信号确认,0,356.24,367.95,0.72
002096.SZ,20251117,14.05,108,6,20,25,9,15,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0617,0.0058,🟢 信号确认,0,13.9,13.98,0.6427
600058.SH,20251117,9.55,101,6,20,18,12,15,12,12,12,ACCUMULATING,🔥 主力吸筹,-0.0369,0.0117,🟢 信号确认,0,9.5,9.66,0.5355
300888.SZ,20251117,41.67,104,5,18,21,14,8,15,12,16,ACCUMULATING,🔥 主力吸筹,-0.0519,0.0112,🟢 信号确认,0,40.57,40.35,0.7021
603043.SH,20251117,17.13,98,5,14,12,14,15,15,12,16,ACCUMULATING,🔥 主力吸筹,-0.0104,0.0119,🟢 信号确认,0,16.97,17.07,0.648
601908.SH,20251117,4.38,96,5,18,18,22,8,10,8,12,ACCUMULATING,🔥 主力吸筹,-0.0539,0.0763,🟢 信号确认,0,4.23,4.17,0.7026
605016.SH,20251117,20.84,93,5,18,15,6,15,15,12,12,WASHING,🟡 底部洗盘,-0.0237,0.0,🟢 信号确认,0,20.75,20.42,0.5083
300053.SZ,20251117,14.29,89,5,16,12,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0174,0.0101,🟢 信号确认,0,14.07,14.29,0.6666
002400.SZ,20251117,8.5,87,5,16,15,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0245,0.0,🟢 信号确认,0,8.39,8.35,0.6555
300109.SZ,20251117,18.13,82,5,20,9,6,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0106,0.005,🟢 信号确认,0,18.0,18.44,0.5618
605179.SH,20251117,22.68,95,4,12,15,14,15,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0174,0.0191,🟢 信号确认,0,22.4,22.6,0.5834
603198.SH,20251117,42.99,83,4,20,12,6,15,10,8,12,WASHING,🟡 底部洗盘,-0.0153,0.005,🟢 信号确认,0,42.6,40.54,0.5888
688032.SH,20251117,114.54,82,4,12,21,6,8,15,8,12,WASHING,🟡 底部洗盘,-0.0598,0.0,🟢 信号确认,0,112.24,112.24,0.7189
603107.SH,20251117,15.96,80,4,18,9,9,15,12,5,12,WASHING,🟡 底部洗盘,-0.0092,-0.0031,🟢 信号确认,0,15.93,15.98,0.5064
002884.SZ,20251117,17.39,90,3,10,15,17,15,12,5,16,ACCUMULATING,🔥 主力吸筹,-0.0195,0.0111,🟢 信号确认,0,17.35,17.73,0.5482
601688.SH,20251205,21.8,112,6,10,25,22,15,12,12,16,ACCUMULATING,🔥 主力吸筹,-0.0852,0.0422,🟢 信号确认,0,21.71,22.26,0.5321
600637.SH,20251205,10.07,110,6,18,25,16,15,12,12,12,ACCUMULATING,🔥 主力吸筹,-0.0699,0.0249,🟢 信号确认,0,9.89,10.09,0.669
605099.SH,20251205,36.22,105,6,14,22,22,8,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.071,0.0414,🟢 信号确认,0,34.73,36.11,0.7733
300972.SZ,20251205,181.69,97,6,14,25,21,15,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0733,0.0396,🟢 信号确认,0,178.73,174.65,0.6496
301087.SZ,20251205,44.18,97,6,14,18,21,8,12,12,12,ACCUMULATING,🔥 主力吸筹,-0.029,0.0201,🟢 信号确认,0,42.14,44.2,0.7747
002970.SZ,20251205,48.5,88,5,20,9,8,15,12,12,12,ACCUMULATING,🔥 主力吸筹,-0.0108,0.0097,🟢 信号确认,0,48.09,49.0,0.5895
603125.SH,20251205,17.6,100,4,12,25,11,15,10,15,12,ACCUMULATING,🔥 主力吸筹,-0.0731,0.0123,🟢 信号确认,0,17.34,16.72,0.6898
600775.SH,20251205,12.18,78,3,9,25,9,8,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.1088,0.0059,🟢 信号确认,0,11.86,11.94,0.7109
601688.SH,20251219,22.93,70,6,14,18,21,2,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0534,0.0298,🟢 接近,1,22.13,22.37,0.8643
600060.SH,20251219,25.04,86,4,16,7,17,15,15,0,16,ACCUMULATING,🔥 主力吸筹,-0.0095,0.0139,🟢 信号确认,0,24.83,24.75,0.617
688401.SH,20251222,50.24,122,7,18,25,25,15,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.1963,0.0512,🟢 信号确认,0,49.29,49.63,0.6508
000680.SZ,20251222,11.12,105,7,18,21,19,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0565,0.0516,🟢 信号确认,0,10.8,11.15,0.6776
301628.SZ,20251222,91.17,93,6,14,21,8,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0584,0.0052,🟢 信号确认,0,90.49,90.49,0.655
688300.SH,20251222,58.98,93,6,14,21,8,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0439,0.0091,🟢 信号确认,0,57.92,56.84,0.6184
601688.SH,20251222,23.12,73,6,18,18,18,2,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.0577,0.0245,🟢 接近,1,22.13,22.37,0.9318
002552.SZ,20251222,16.76,84,5,18,18,6,15,15,0,12,WASHING,🟡 底部洗盘,-0.0386,0.0,🟢 信号确认,0,16.5,16.32,0.6307
688182.SH,20251222,26.38,86,4,18,12,6,8,15,15,12,WASHING,🟡 底部洗盘,-0.0162,0.0,🟢 信号确认,0,25.86,26.0,0.7344
